sn,symbol,ltp,point change,change,open,high,low,volume,close
257,SIKLES,492.00,25.00,5.35,474.00,511.00,461.00,"79,504.00",467.00
258,SINDU,271.90,3.90,1.46,271.00,274.00,265.10,"12,040.00",268.00
259,SJCL,303.00,10.00,3.41,294.00,321.30,293.00,"71,198.00",293.00
260,SJLIC,515.00,-18.10,-3.40,535.00,536.50,507.10,"57,286.00",533.10
261,SKBBL,867.90,15.90,1.87,852.00,874.00,852.00,"10,477.00",852.00
262,SLBBL,605.00,-5.00,-0.82,622.00,634.00,601.50,"6,336.00",610.00
263,SLBSL,750.00,14.00,1.90,750.00,750.00,720.30,"1,422.00",736.00
264,SLCF,7.95,0.15,1.92,7.65,7.95,7.65,"6,000.00",7.80
265,SMATA,614.00,4.00,0.66,619.90,625.00,604.00,"1,333.00",610.00
266,SMB,979.00,10.00,1.03,985.00,999.00,979.00,70.00,969.00
267,SMFBS,842.00,-27.00,-3.11,855.00,868.00,840.00,416.00,869.00
268,SMH,624.00,30.30,5.10,596.00,637.00,596.00,"20,271.00",593.70
269,SMHL,442.10,-2.90,-0.65,453.00,459.00,441.20,"36,221.00",445.00
270,SMJC,372.00,4.00,1.09,370.00,379.00,356.00,"241,432.00",368.00
271,SNLI,545.00,-16.40,-2.92,560.00,560.00,545.00,"103,065.00",561.40
272,SONA,498.80,-9.20,-1.81,518.10,518.10,496.00,"557,159.00",508.00
273,SPC,479.00,-16.00,-3.23,485.10,504.00,478.00,"6,520.00",495.00
274,SPDL,245.00,20.50,9.13,228.90,246.90,228.90,"491,109.00",224.50
275,SPHL,458.00,-12.00,-2.55,475.00,480.00,452.00,"11,810.00",470.00
276,SPIL,745.00,-24.00,-3.12,760.00,784.00,745.00,"15,096.00",769.00
277,SPL,694.10,-46.90,-6.33,726.20,726.20,692.00,"38,834.00",741.00
278,SRLI,455.00,-15.00,-3.19,479.00,479.00,453.00,"37,213.00",470.00
279,SSHL,163.90,1.10,0.68,166.00,168.50,161.70,"114,184.00",162.80
280,STC,"5,301.00",-118.00,-2.18,"5,515.00","5,515.00","5,300.00","2,574.00","5,419.00"
281,SWBBL,710.50,-2.10,-0.29,719.90,719.90,705.70,"3,993.00",712.60
282,SWMF,654.00,3.00,0.46,643.10,673.00,643.10,"2,269.00",651.00
283,TAMOR,326.00,16.00,5.16,306.00,338.00,305.00,"278,711.00",310.00
284,TPC,426.80,38.80,10.00,395.70,426.80,395.00,"44,222.00",388.00
285,TRH,837.20,-22.80,-2.65,873.00,873.00,836.00,"34,368.00",860.00
286,TSHL,508.00,19.00,3.89,490.00,520.00,479.30,"34,807.00",489.00
287,TVCL,381.00,-4.00,-1.04,377.30,392.70,371.00,"20,472.00",385.00
288,UAIL,625.00,-10.00,-1.57,635.00,640.00,625.00,"65,488.00",635.00
289,UHEWA,338.20,9.20,2.80,325.00,348.10,325.00,"21,876.00",329.00
290,ULBSL,"1,070.00",-10.00,-0.93,"1,101.00","1,108.00","1,064.20",357.00,"1,080.00"
291,ULHC,282.00,2.00,0.71,278.00,296.00,278.00,"50,358.00",280.00
292,UMHL,216.00,4.00,1.89,216.00,225.40,210.00,"120,987.00",212.00
293,UMRH,402.00,-0.50,-0.12,410.50,422.00,400.00,"234,019.00",402.50
294,UNHPL,207.10,0.10,0.05,211.10,215.20,206.60,"81,022.00",207.00
295,UNL,"39,001.00",-999.00,-2.50,"39,200.00","39,200.00","39,001.00",20.00,"40,000.00"
296,UNLB,"1,094.00",-27.00,-2.41,"1,098.60","1,110.10","1,075.00","2,586.00","1,121.00"
297,UPCL,206.90,0.10,0.05,210.80,215.70,205.00,"192,072.00",206.80
298,UPPER,201.90,2.40,1.20,203.40,205.00,200.00,"95,328.00",199.50
299,USHEC,327.70,12.70,4.03,321.00,330.00,317.00,"43,198.00",315.00
300,USHL,383.00,-8.90,-2.27,399.70,407.50,381.60,"15,433.00",391.90
301,USLB,780.00,-12.00,-1.52,777.00,781.50,750.00,"1,321.00",792.00
302,VLBS,625.00,1.00,0.16,612.50,625.00,600.00,"1,443.00",624.00
303,VLUCL,559.00,-26.00,-4.44,596.70,607.00,555.50,"76,780.00",585.00
304,WNLB,795.60,5.60,0.71,775.10,805.80,775.10,867.00,790.00
